20470.0, 267.7425783763888, 4924798, 4874327, 4876550, 4793476, 4791387, 4905829, 4852493, 4791385, 4900284, 4829379, 4925156, 4883679
20301.5, 161.6647388494955, 3954641, 2097898, 2469345, 2874408, 2444148, 3970329, 2069841, 2128030, 2486881, 2164997, 2084862, 2201460
20245.5, 115.08662374891082, 2657557, 4876550, 1990449, 3954641, 4883762, 4867605, 4853246, 3881559, 4914437, 1816113, 4904540, 3623807
20232.4, 240.80335790296954, 4791387, 4630407, 2084862, 4705585, 4662519, 2328680, 4425879, 4791385, 1385398, 2564395, 4757557, 1909555
20226.3, -16.268137900648526, 3214639, 1811527, 827803, 4758850, 3884667, 4193498, 991733, 4343206, 1642267, 3010178, 1710847, 3726990
20219.8, 77.07151947429452, 3954641, 3970329, 3881559, 2593620, 2684033, 2486881, 4042579, 2245774, 4846148, 2069841, 4894158, 2552046
20145.0, -61.372996575093794, 1256809, 930249, 4403746, 2496720, 1990449, 1113057, 3665005, 2983479, 3853713, 1209189, 335628, 3928577
20071.1, 238.02491773017823, 4885549, 4852493, 4883762, 4883679, 4793476, 4839949, 4791387, 4791385, 4924798, 4914702, 2328680, 4852494
20043.4, 262.7631764040673, 4791387, 4867605, 4791385, 4810017, 4860513, 4833931, 4924798, 4853246, 4883762, 4855807, 4726119, 4905829
20033.4, 243.58917004236218, 4921971, 4876550, 4883762, 4905829, 4852493, 4793476, 4885549, 4839949, 4812528, 4919463, 4904114, 4883679
19948.1, 224.13127870086555, 4867167, 4905829, 4800049, 4876550, 4861214, 4917244, 4906159, 2657557, 4924798, 4791387, 2069841, 4883846
19825.0, -21.97758805366516, 3970329, 4859467, 4403746, 3665005, 4724034, 2983479, 550235, 1990449, 1770368, 718679, 2477065, 2993974
