mrekk, 277.136670728069
Ivaxa, 30.182152214897542
Accolibed, -100.22049054183026
NINERIK, -77.80032970803768
NyanPotato, 252.9826640196004
lifeline, -42.729807106510634
gnahus, 273.372220690072
bored yes, 297.76100688806946
milosz, 142.3259170264098
JappaDeKappa, 320.8275016460525
toro-019, -127.79278165038568
jahkon, 275.2198092741853
creator, 283.3056214852795
cloutiful, 318.26238589729087
ASecretBox, 142.23132923663115
aimbotcone, -71.61086974039972
freezes, 285.80125116594763
aknzx, 40.56986066204763
Chicony, -12.317995777975739
FlyingTuna, 243.58576892598307
Plasma, 289.7771979815411
MINHOCA LOKA, 228.98855637874158
sytho, -128.62090922836637
PLOXARU, -107.7583305503374
-cloppit, 262.1204511942358
hotdog4000, -45.83376627350776
Flaro, -51.663244609334015
originset, 272.16691774251603
atlas, 258.94393165147744
Zylice, -92.9856450890552
shimon, -69.92382744415613
yamss, -25.066132797467162
Lexu2S, -47.506327226221174
Pipipupu997, 260.0502961679931
enri, 112.66417728953593
Milkteaism, 24.854815464455896
Shyot73, -83.36688852837597
TTv_UFO, 231.27939418030928
def, 267.7425783763888
WhiteCat, 161.6647388494955
Raikouhou, 115.08662374891082
worst hr player, 240.80335790296954
ChocoPafe, -16.268137900648526
MALISZEWSKI, 77.07151947429452
Kamensh1k, -61.372996575093794
Vudek, 238.02491773017823
suurii, 262.7631764040673
_HaxOr_, 243.58917004236218
ur cute, 224.13127870086555
Rafis, -21.97758805366516
